 24,  10,  1987,  19,   0
 22,   9,  2002,   0,   0
 22,  12,  2000,   1,   0
  3,   5,  1990,  17,   0
 13,   5,  1995,  13,   0
 27,   5,  1994,  15,   0
 18,   8,  1998,   6,   0
 30,   6,  2001,  14,   0
 19,  12,  1986,  10,   0
  6,   8,  1985,   2,   0
 24,   6,  2002,  21,   0
 19,   1,  1994,  22,   0
 10,  12,  2000,  15,   0
 17,   1,  1985,  16,   0
 26,   4,  1994,   7,   0
  3,   2,  2000,  11,   0
 14,  10,  1989,  19,   0
  8,  10,  2004,   6,   0
  8,  11,  2003,  10,   0
 23,   8,  1985,   5,   0
 14,   7,  1985,  22,   0
 28,   4,  1996,  17,   0
 22,   8,  2004,  12,   0
 22,  12,  1992,   2,   0
 13,   7,  1989,  21,   0
 30,  10,  1993,  14,   0
 11,   8,  1985,   9,   0
 21,   8,  1989,  19,   0
 28,   2,  1994,   0,   0
 16,   5,  1995,  10,   0
 16,  11,  1989,  19,   0
 30,  10,  1989,  20,   0
 30,   7,  1989,  13,   0
 12,   8,  1994,  21,   0
 23,   1,  1991,  20,   0
 14,   6,  1985,  17,   0
  8,   7,  2002,  18,   0
 21,   8,  1996,  14,   0
  8,   6,  1998,   5,   0
 21,  11,  1988,  11,   0
  4,  10,  2005,   8,   0
 26,  12,  2002,  14,   0
 13,   7,  1987,  21,   0
 17,  12,  1991,  14,   0
  3,   2,  2000,   1,   0
 16,  11,  1999,  11,   0
  1,   8,  2004,  20,   0
 30,  10,  1993,  12,   0
 12,   5,  2002,   3,   0
  8,   1,  1999,   4,   0
  7,   5,  1991,  14,   0
 16,   4,  1997,   8,   0
 16,   6,  2003,  16,   0
 12,   9,  2002,  14,   0
 27,   7,  1995,  19,   0
 27,   4,  1997,   5,   0
 22,   9,  1985,   6,   0
 29,   1,  1990,  13,   0
  4,   9,  2001,  22,   0
 31,   8,  1993,  23,   0
 14,   8,  1988,  23,   0
 24,   6,  1996,   3,   0
 15,   9,  1999,   4,   0
  9,   2,  1999,   2,   0
  2,  11,  1992,  10,   0
  8,   3,  1994,   5,   0
 20,   8,  1995,  19,   0
